,name,rating,number of review,about
199,ABB Group,4.1,2.3k,Electrical Equipment | 10k-50k Employees | Public | 35 years old | Zurich +89 more
200,Ipca Laboratories,4.0,2.2k,Pharma | 10k-50k Employees | Public | 74 years old | Mumbai +106 more
201,NatWest Group,4.1,2.2k,Banking | 10k-50k Employees | Forbes Global 2000 | Gurgaon/Gurugram +21 more
202,R1 RCM,3.9,2.2k,Accounting & Auditing | 5k-10k Employees | 20 years old | Murray +20 more
203,Honda Motorcycle & Scooter,4.2,2.2k,Automobile | 1k-5k Employees | 24 years old | Gurgaon/Gurugram +194 more
204,Access Healthcare,3.9,2.2k,IT Services & Consulting | 1k-5k Employees | 12 years old | Dallas +19 more
205,DTDC Express,3.8,2.2k,Logistics | 1k-5k Employees | 33 years old | Bangalore/Bengaluru +211 more
206,Standard Chartered Bank,4.0,2.2k,Banking | 10k-50k Employees | Fortune India 500 | 54 years old | London +57 more
207,MRF Tyres,3.7,2.2k,Auto Components | 10k-50k Employees | Public | 77 years old | Chennai +160 more
208,Maersk,4.3,2.2k,Logistics | 10k-50k Employees | 119 years old | Copenhagen +27 more
209,Aarti Industries,4.1,2.2k,Chemicals | 5k-10k Employees | Public | 48 years old | Mumbai +37 more
210,Bank of America,4.4,2.2k,Banking | 10k-50k Employees | Fortune India 500 | 25 years old | Charlotte +25 more
211,Biocon,3.9,2.2k,Biotechnology | 10k-50k Employees | Public | 45 years old | Bangalore/Bengaluru +60 more
212,Reliance Nippon Life Insurance,3.9,2.2k,Insurance | 10k-50k Employees | 23 years old | Mumbai +410 more
213,Indiabulls Home Loans,3.8,2.2k,NBFC | 5k-10k Employees | Public | 18 years old | Gurgaon/Gurugram +176 more
214,Tata AIA Life Insurance,4.1,2.2k,Insurance | 10k-50k Employees | 22 years old | Mumbai +267 more
215,GATI-KWE,4.1,2.2k,Logistics | 1k-5k Employees | 11 years old | Hyderabad/Secunderabad +153 more
216,ITC Infotech India,3.5,2.2k,IT Services & Consulting | 5k-10k Employees | 23 years old | Bangalore/Bengaluru +44 more
217,24/7 Customer,3.6,2.2k,Software Product | 5k-10k Employees | 23 years old | San Jose +22 more
218,Conduent,3.6,2.2k,IT Services & Consulting | 5k-10k Employees | 6 years old | Florham Park +19 more
